# id | id no Deezer | duração (s) | BPM do Deezer (0 = sem) | título achado. Gerado por tools/data/fetch-extra.mjs.
mumford-and-sons--i-will-wait|3475108021|303|0|I Will Wait (Live)
muse--assassin|3590190|211|124.5|Assassin
muse--knights-of-cydonia|3590194|367|136.9|Knights of Cydonia
muse--plug-in-baby|13636688|218|136|Plug in Baby
muse--uprising|4195713|304|128|Uprising
my-chemical-romance--dead|676563|195|99.4|Dead!
my-chemical-romance--im-not-okay-i-promise|785961|188|179.8|I'm Not Okay (I Promise)
my-morning-jacket--one-big-holiday|82153204|321|136|One Big Holiday
naast--mauvais-garcon|3327850|163|104.4|Mauvais garçon
negramaro--nuvole-e-lenzuola|1414986122|199|0|Nuvole E Lenzuola
neil-young--rockin-in-the-free-world|4094888|281|131.7|Rockin' in the Free World
nelly-furtado--turn-off-the-light|7562978|276|90.1|Turn Off The Light
neon-trees--everybody-talks|17806810|180|154.8|Everybody Talks
nerd--rock-star|4760940|229|122|Rock Star
new-york-dolls--personality-crisis|2598226|221|152|Personality Crisis
nickelback--how-you-remind-me|71828723|224|171.6|How You Remind Me
night-ranger--you-can-still-rock-in-america|5480241|254|164.7|(You Can Still) Rock In America
nine-inch-nails--wish|87407075|226|135.1|Wish
nirvana--about-a-girl|529900441|166|133.4|About A Girl
nirvana--heart-shaped-box|70466227|281|99.9|Heart-Shaped Box
nirvana--lithium|529900491|255|123.1|Lithium
nirvana--smells-like-teen-spirit|13791930|301|116.1|Smells Like Teen Spirit
no-doubt--dont-speak|24246391|263|152|Don't Speak
no-doubt--ex-girlfriend|24246401|210|173|Ex-Girlfriend
no-doubt--just-a-girl|24246271|209|107.9|Just A Girl
no-doubt--spiderwebs|24246371|268|143.1|Spiderwebs
noble-rot--kicked-to-the-curb|8847511|216|172.3|Kicked to the Curb
nofx--soul-doubt|378295981|166|151.4|Soul Doubt
oasis--some-might-say|3475107651|339|0|Some Might Say (Live)
of-mice-and-men--bones-exposed|3783087402|255|0|Bones Exposed
of-monsters-and-men--mountain-sound|17615565|211|0|Mountain Sound
oingo-boingo--only-a-lad|542838802|238|179.8|Only A Lad
ok-go--a-million-ways|3093104|192|130|A Million Ways
onerepublic--counting-stars|78527795|257|122|Counting Stars
orianthi--suffocated|4566559|183|149.8|Suffocated
ounce-of-self--drink-up|||0|
ozzy-osbourne--bark-at-the-moon|623616|256|146.6|Bark at the Moon
ozzy-osbourne--crazy-train|83919189|291|137.8|Crazy Train
ozzy-osbourne--mr-crowley|83919191|300|107.7|Mr. Crowley
pantera--cowboys-from-hell|714397|243|113.9|Cowboys from Hell
pantera--im-broken|662909|264|148.7|I'm Broken
papa-roach--lifeline|2925011|258|106|Lifeline (Album Version)
parachute--back-again|4229667|185|173.7|Back Again
paramore--misery-business|3829140|211|173|Misery Business
paramore--now|65732140|250|162.1|Now
pat-benatar--heartbreaker|3140671|208|157.8|Heartbreaker
