# id | duração no LRCLIB (s) | letra (1 tem, 0 não achou, i instrumental). Gerado por tools/data/fetch-lrclib.mjs.
vagiant--ftk|194|1
valient-thorr--fall-of-pangea|424|1
vampire-weekend--a-punk|138|1
van-halen--aint-talkin-bout-love|227|1
van-halen--and-the-cradle-will-rock|213|1
van-halen--atomic-punk|182|1
van-halen--beautiful-girls|236|1
van-halen--cathedral|83|i
van-halen--dance-the-night-away|190|1
van-halen--eruption|106|1
van-halen--everybody-wants-some|310|1
van-halen--feel-your-love-tonight|223|1
van-halen--hang-em-high|209|1
van-halen--hear-about-it-later|272|1
van-halen--hot-for-teacher|283|1
van-halen--ice-cream-man|200|1
van-halen--im-the-one|230|1
van-halen--intruder-oh-pretty-woman|277|i
van-halen--jamies-cryin|209|1
van-halen--jump|241|1
van-halen--little-guitars|229|1
van-halen--loss-of-control|159|1
van-halen--mean-street|303|1
van-halen--panama|212|1
van-halen--romeo-delight|259|1
van-halen--runnin-with-the-devil|217|1
van-halen--so-this-is-love|185|1
van-halen--somebody-get-me-a-doctor|173|1
van-halen--spanish-fly|62|i
van-halen--unchained|209|1
van-halen--you-really-got-me|160|1
village-people--ymca|224|1
voivod--x-stream|302|1
warrant--cherry-pie|201|1
weezer--dope-nose|137|1
weezer--my-name-is-jonas|207|1
weezer--why-bother|128|1
white-lion--radar-love|360|1
white-zombie--black-sunshine|291|1
white-zombie--thunder-kiss-65|236|1
wild-cherry--play-that-funky-music|299|1
willie-nelson--on-the-road-again|153|1
winger--seventeen|247|1
wings--band-on-the-run|312|1
wolfmother--back-round|240|1
wolfmother--sundial|228|1
wolfmother--woman|176|1
x--los-angeles|145|1
yellowcard--ocean-avenue|3|1
yellowcard--the-takedown|217|1
you-me-at-six--lived-a-lie|204|1
zz-top--la-grange|234|1
zz-top--sharp-dressed-man|179|1
